trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,7,-10.554417218267144,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",20,11,-14.012987674658199,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,0,-56.71168849517036,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,16,5.7396615210759965,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",25,0,-38.50726236833164,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",20,0,-55.39736144315158,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",25,0,-26.366518427397814,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",20,0,-22.868800450782558,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",20,0,2.416847502068972,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",25,2,34.292587580749746,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",25,13,12.302992926023826,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",20,0,-18.88015107588856,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,13,13.648348790392433,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,13,-31.838259738456397,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",25,0,21.39079209830272,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",25,0,26.903604022790528,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
